product_id,brand,category,price,price_category,popularity_score,conversion_rate,view,cart,purchase
1004856,samsung,electronics.smartphone,130.76,premium,2851,0.061845386533665836,1706,175,124
1004767,samsung,electronics.smartphone,254.82,premium,2312,0.06351183063511831,1355,149,102
1005115,apple,electronics.smartphone,975.57,luxury,1788,0.039492242595204514,1289,73,56
1004870,samsung,electronics.smartphone,286.86,luxury,1412,0.04757281553398058,888,93,49
1004833,samsung,electronics.smartphone,174.76,premium,1291,0.05863192182410423,790,77,54
5100816,xiaomi,unknown,29.51,budget,1252,0.046620046620046623,701,117,40
1002544,apple,electronics.smartphone,464.13,luxury,1165,0.07830551989730423,647,71,61
1004249,apple,electronics.smartphone,739.81,luxury,1149,0.05158264947245018,749,60,44
4804056,apple,electronics.audio.headphone,161.98,premium,1100,0.07101449275362319,534,107,49
1004739,xiaomi,electronics.smartphone,197.55,premium,974,0.02119700748129676,733,52,17
1004741,xiaomi,electronics.smartphone,185.71,premium,916,0.036337209302325583,599,64,25
1004873,samsung,electronics.smartphone,388.81,luxury,883,0.03795620437956204,612,47,26
1005105,apple,electronics.smartphone,1415.48,luxury,883,0.02796271637816245,706,24,21
1004836,samsung,electronics.smartphone,241.19,premium,821,0.031007751937984496,577,48,20
1002524,apple,electronics.smartphone,515.67,luxury,765,0.04974271012006861,521,33,29
1004785,huawei,electronics.smartphone,278.55,luxury,730,0.03333333333333333,555,25,20
1004750,samsung,electronics.smartphone,197.43,premium,694,0.03874538745387454,487,34,21
4804295,xiaomi,electronics.audio.headphone,23.13,budget,691,0.027829313543599257,478,46,15
1002633,apple,electronics.smartphone,360.08,luxury,670,0.07021276595744681,403,34,33
1004565,huawei,electronics.smartphone,177.47,premium,659,0.02697495183044316,463,42,14
1004838,oppo,electronics.smartphone,179.38,premium,636,0.020446096654275093,500,27,11
1005100,samsung,electronics.smartphone,154.42,premium,592,0.017928286852589643,466,27,9
1004858,samsung,electronics.smartphone,134.42,premium,586,0.028384279475982533,407,38,13
1004777,xiaomi,electronics.smartphone,136.4,premium,581,0.02286902286902287,442,28,11
1004659,samsung,electronics.smartphone,787.18,luxury,539,0.03854875283446712,409,15,17
4804055,apple,electronics.audio.headphone,189.91,premium,514,0.0390625,334,35,15
1003306,apple,electronics.smartphone,588.77,luxury,512,0.02631578947368421,382,25,11
1004258,apple,electronics.smartphone,735.05,luxury,512,0.024154589371980676,375,29,10
1005135,apple,electronics.smartphone,1747.79,luxury,510,0.041463414634146344,377,16,17
1004903,huawei,electronics.smartphone,111.82,premium,507,0.01873536299765808,395,24,8
1003317,apple,electronics.smartphone,957.53,luxury,458,0.04619565217391304,340,11,17
1801766,artel,electronics.video.tv,150.71,premium,433,0.01876675603217158,350,16,7
1005008,xiaomi,electronics.smartphone,103.08,mid-range,408,0.025157232704402517,281,29,8
1004957,xiaomi,electronics.smartphone,348.53,luxury,390,0.016666666666666666,351,3,6
1004768,samsung,electronics.smartphone,253.36,premium,385,0.028938906752411574,283,19,9
1005104,apple,electronics.smartphone,975.57,luxury,367,0.0297029702970297,280,14,9
1004246,apple,electronics.smartphone,736.18,luxury,361,0.03859649122807018,258,16,11
1005156,xiaomi,electronics.smartphone,308.63,luxury,354,0.005780346820809248,344,0,2
1004708,huawei,electronics.smartphone,159.77,premium,353,0.02356902356902357,276,14,7
1004209,samsung,electronics.smartphone,92.64,mid-range,352,0.05078125,221,22,13
1004781,huawei,electronics.smartphone,278.31,luxury,345,0.02527075812274368,250,20,7
1801690,samsung,electronics.video.tv,368.04,luxury,340,0.017006802721088437,276,13,5
1004834,samsung,electronics.smartphone,174.78,premium,340,0.046153846153846156,232,16,12
1004857,samsung,electronics.smartphone,130.73,premium,336,0.04044117647058824,251,10,11
1801881,samsung,electronics.video.tv,506.29,luxury,326,0.025362318840579712,258,11,7
